x1,x2,label
3.8569604,9.0289161,0
3.2866555,-8.9413749,1
-9.025491,2.5177238,0
9.1138221,-4.8460707,0
6.6052261,0.6437342,0
8.6700105,-7.5339082,0
8.4645484,2.3686565,0
-1.9495678,-5.7650068,1
-3.5597742,6.5098636,0
-0.6757019,-3.6821271,1
8.6707861,0.5081722,0
3.2382651,9.4603204,0
-1.1417156,3.3256967,0
-3.8796405,-1.2729342,0
7.989497,-8.3800827,1
-7.9090932,8.1277068,0
6.4574101,-7.5129908,1
-5.4363505,-6.6159135,1
9.6539868,-1.5355611,0
-0.7641216,-1.7584089,1
-6.3989325,9.898207,0
9.8934364,-6.9499855,0
0.0458301,5.5732175,0
-3.7092439,-2.5657857,0
-2.3676116,6.6568948,0
0.1403246,-4.2951227,1
0.3029672,8.8968321,0
-9.3851586,4.2639937,0
1.7576697,-2.1083701,1
-8.3020195,-2.1972838,0
0.5824042,-1.332381,1
1.2638389,2.2559163,0
-4.0116388,-4.4911335,1
-8.292143,8.637175,0
-5.8479036,-8.7214747,1
1.1213118,0.1641105,0
6.7917219,8.3961273,0
1.0381643,-6.9287209,1
8.3144108,3.429805,0
-3.6639709,0.3538904,0
0.1071724,-0.9804512,1
-2.6869602,-0.148916,0
5.9028243,5.2037117,0
-2.1887842,4.2533756,0
-0.0159298,-2.1192532,1
-2.0724823,3.9952561,0
-1.0796288,5.3748889,0
7.7583574,3.9580957,0
-6.4302664,-7.711084,1
7.7028873,1.4823279,0
-1.5303683,-0.9537163,0
-1.1182049,-3.8221621,1
-0.7261746,5.148276,0
-8.5947329,-0.6920148,0
-0.4653556,6.4339137,0
6.3321077,5.5897114,0
-8.4926529,-1.8602762,0
9.1686593,-0.7534441,0
-5.300759,1.4974757,0
-8.000612,2.3039919,0
7.6710963,-2.2925025,0
-5.7198163,-0.6207767,0
8.5659358,9.1941101,0
-4.8689237,4.482041,0
-3.2947906,-6.6642113,1
9.1928126,-0.4587222,0
1.402979,-4.557151,1
8.9328139,9.6803551,0
3.025464,-3.2363771,1
-5.5480405,-1.1225828,0
3.0936387,3.2085769,0
-3.077948,-8.2388854,1
4.6276956,2.728702,0
-0.222075,-6.3660368,1
-6.8186477,2.0321179,0
-6.6556959,-2.2507746,0
-1.651464,-5.6984132,1
1.6585869,7.6985114,0
6.236405,5.9569687,0
5.4172455,-1.2695802,0
2.7399656,-6.6839641,1
5.994808,-8.6752823,1
-8.3781039,7.5364007,0
-7.1472301,-2.1831015,0
5.3189412,8.898847,0
-8.3816522,-4.9092492,0
5.0756237,-2.3817973,0
-8.3800056,7.4257062,0
-2.9613111,-3.8898003,1
6.2547239,1.2184605,0
3.096667,-1.9255431,0
-4.5160173,1.5765829,0
-9.7956981,3.4132053,0
-6.7446356,9.8322354,0
-1.7100651,-1.4525309,0
-0.0141228,-1.6208893,1
-6.3611692,0.4779051,0
4.1806088,-0.0883506,0
-7.5218539,7.288209,0
-2.0275277,-1.4364294,0
0.4636614,-7.8301753,1
5.0100262,-5.4161478,1
-7.4489963,4.3492504,0
-8.67697,6.1002988,0
-0.1551433,-1.147815,1
5.20883,-9.7106038,1
-0.8937216,-4.62584,1
-9.5254969,-8.2219171,0
8.6559076,2.6532285,0
7.2715075,-2.2143998,0
-5.423157,5.113779,0
2.4202742,7.5975651,0
9.7830282,-6.0738358,0
-2.471877,9.9757393,0
-7.7507123,8.0420961,0
-2.4793627,-4.6967096,1
-0.6154405,3.530182,0
2.6430754,5.4250833,0
-4.9895738,-9.6519084,1
-9.1974065,2.5831505,0
5.4313784,-6.1643071,1
8.6182318,-2.1511744,0
-2.943672,-2.235085,0
6.3595445,8.7634877,0
-2.3876117,3.7986554,0
-0.2991492,-3.5727863,1
6.7107671,-3.24028,0
-8.4409075,-1.2539653,0
8.9217387,0.7170885,0
1.4420465,-8.1774756,1
9.8403395,2.3357065,0
-3.6083572,-0.7753613,0
2.3835126,-8.0896743,1
0.6540183,5.8402893,0
8.031682,6.8363001,0
4.674944,0.9932512,0
-8.9977367,-7.6405382,0
-3.4326291,-9.1358539,1
5.9253594,-9.6733535,1
-9.4258928,-3.3845961,0
-7.2743675,9.0217889,0
0.9048336,-3.1625586,1
-7.1223519,3.6703342,0
7.7573081,4.1802986,0
-9.0521833,8.5508037,0
9.7854616,-9.4067938,0
-7.2529229,2.7163621,0
-0.3706829,-2.9915893,1
-8.3589748,-4.8549695,0
-0.8294681,3.4306311,0
-9.1391884,5.8104815,0
6.6461998,-1.0395394,0
0.192862,3.1944044,0
4.4953675,-6.9301976,1
7.8183473,6.9820385,0
6.1889661,-7.8466935,1
-7.4551156,-3.0192121,0
9.6336518,4.3344786,0
