x1,x2,label
7.610425,-6.143508,0
6.547152,-8.638073,1
6.671336,-7.152704,1
-0.383668,-1.465594,1
2.67898,-9.613537,1
1.919588,-9.158052,1
2.789795,-6.300405,1
6.080645,-3.722496,0
-6.516747,-7.132384,1
-0.881281,-8.921534,1
-1.903912,-4.37513,1
4.614133,-2.861441,0
5.485432,-5.15212,0
1.50337,-1.634577,1
3.562715,-5.306178,1
-0.167274,-8.451132,1
-3.403072,-8.895519,1
8.228395,-4.349705,0
5.194865,-4.243934,0
-3.773827,-6.574276,1
7.659863,-3.672391,0
8.111231,-9.271015,1
0.971202,-8.908541,1
7.069912,-7.456005,1
1.994441,-8.988775,1
7.659827,-7.102645,0
-7.340039,-9.887905,1
-6.222293,-8.606082,1
2.063973,-8.613749,1
-1.472421,-5.994315,1
6.817298,-4.46838,0
-6.710829,-7.550019,1
0.886675,-2.81661,1
3.817006,-7.742517,1
9.093644,-4.783202,0
7.620275,-4.723989,0
-1.869295,-7.507715,1
-0.02892,-1.336591,1
6.454179,-9.061085,1
5.746708,-9.129695,1
0.367589,-2.17868,1
9.381953,-7.402227,0
-0.269875,-4.831227,1
-2.84944,-4.658431,1
0.632509,-7.639516,1
-4.250427,-9.443721,1
4.350195,-9.404942,1
5.99322,-8.266615,1
8.193094,-7.858235,0
4.392029,-7.357751,1
-0.935026,-4.87045,1
7.064151,-7.153433,1
4.610787,-7.522044,1
0.665046,-7.842319,1
2.522985,-4.253273,1
4.175277,-2.631313,0
-2.484538,-7.434063,1
7.451848,-4.66818,0
8.929169,-4.834252,0
0.132306,-8.530108,1
9.186633,-6.191297,0
1.057179,-2.027701,1
0.180754,-8.08192,1
9.849202,-6.626099,0
-0.047094,-5.052333,1
0.152628,-8.798919,1
-2.267165,-9.331636,1
-6.319353,-9.356352,1
-3.10911,-6.876053,1
-7.702931,-9.554492,1
3.512874,-7.961496,1
0.417472,-2.040635,1
1.478746,-6.944545,1
3.792721,-5.395525,1
-1.944378,-8.19626,1
5.645086,-5.061124,0
3.946067,-7.133506,1
5.103723,-9.55789,1
4.524628,-5.811845,1
-1.38608,-1.244783,0
8.619481,-6.078077,0
2.217241,-3.545962,1
6.16511,-5.067006,0
-2.628672,-8.459834,1
-2.015451,-3.632192,1
8.964601,-8.517646,0
-7.702309,-8.349121,1
-0.356337,-6.792779,1
-0.517901,-7.16419,1
-7.045479,-8.235369,1
-5.087857,-5.31433,1
-3.13169,-5.219717,1
-4.177585,-8.16532,1
-5.293403,-6.405959,1
4.666667,-6.161752,1
1.773557,-9.924994,1
-1.688047,-1.277739,0
5.834645,-9.490261,1
1.300658,-6.912324,1
-7.711362,-8.022043,1
8.068562,-9.818669,1
8.383095,-7.955315,0
-2.937586,-9.723849,1
-7.699853,-8.280285,1
7.610791,-7.32559,0
0.819189,-3.256183,1
1.309947,-5.888133,1
-0.630836,-9.637706,1
2.306947,-9.222816,1
-0.496477,-9.61406,1
8.158167,-7.646718,0
6.293038,-3.217189,0
8.553387,-7.12174,0
-1.581641,-4.298381,1
6.601279,-3.950085,0
0.139492,-8.669704,1
-1.480364,-6.048561,1
-1.84096,-5.323627,1
-2.540125,-3.44251,1
0.134356,-3.039635,1
5.364787,-4.267887,0
-1.992419,-7.39432,1
5.008095,-5.918844,1
-3.904849,-3.94326,1
6.095041,-8.885242,1
3.609208,-3.176919,0
1.802844,-5.425989,1
7.556861,-5.908728,0
-7.561282,-8.376813,1
-0.832144,-6.937963,1
7.337205,-7.407606,1
2.760128,-1.938594,0
2.783416,-7.030534,1
5.016738,-6.697498,1
-5.481973,-7.493761,1
-1.004371,-7.001789,1
-3.814359,-8.091795,1
-1.639611,-2.56937,1
-1.783124,-7.605308,1
1.758099,-4.79998,1
4.050337,-7.299896,1
-0.793503,-8.274965,1
-2.897768,-8.207316,1
6.461271,-9.755256,1
8.016926,-5.066975,0
4.093939,-9.073687,1
5.974392,-9.231167,1
0.60778,-2.549201,1
1.493469,-7.047344,1
-0.287308,-7.914532,1
6.806566,-9.119719,1
6.902492,-9.282565,1
-4.053148,-9.230483,1
6.358615,-6.549559,1
5.955116,-4.067657,0
3.443332,-7.469014,1
5.332741,-4.304093,0
-3.575423,-8.219705,1
4.436835,-6.246008,1
-0.940521,-2.042952,1
-2.470754,-3.656574,1
-2.364893,-6.375711,1
4.363353,-3.104038,0
-6.746718,-8.203869,1
3.693907,-4.176381,1
-4.796816,-6.961496,1
-0.362767,-1.771829,1
-4.501667,-5.264394,1
8.684809,-4.587065,0
-0.344174,-0.938739,1
4.019571,-8.48436,1
-1.999817,-8.177477,1
1.502747,-9.894959,1
-4.748191,-4.787829,1
